tick,regime,equity,traded,return
0,VOLATILE,100000.01177186727,True,0.0
1,VOLATILE,100000.29567089924,True,2.5172415312360243
2,VOLATILE,99999.84240643229,True,-2.884495529689147
3,VOLATILE,99999.7059464772,True,-0.4756362527467388
4,VOLATILE,100000.54183614253,True,2.850980280933328
5,VOLATILE,100000.73475057137,True,0.8114904741356668
6,VOLATILE,100000.24416256083,True,-1.3459646742794718
7,VOLATILE,99999.10587040854,True,-2.6494543953587737
8,VOLATILE,99999.34561081642,True,0.20705382414396922
9,VOLATILE,99999.23193808932,True,-0.12295171851295095
10,VOLATILE,99999.06291660841,True,-0.3696228432037856
11,VOLATILE,99998.85626431047,True,-0.36049004706751475
12,VOLATILE,99998.88650983435,True,0.08241542603106211
13,VOLATILE,100000.93891892918,True,3.1736952164032175
14,VOLATILE,100000.31516041062,True,-0.8909533160820047
15,VOLATILE,100000.33171949442,True,-0.019679669289644153
16,VOLATILE,100000.11910899491,True,-0.2851501070597635
17,VOLATILE,99997.98710165122,True,-2.964936803890012
18,VOLATILE,99997.6984193644,True,-0.39380055238413547
19,VOLATILE,99996.08338108541,True,-2.0839205142328154
20,VOLATILE,99996.11048248499,True,0.004469187101818761
21,VOLATILE,99995.18785650583,True,-1.1253111882578537
22,VOLATILE,99997.71815582577,True,3.043178438245249
23,VOLATILE,99997.54123172104,True,-0.2155936997627208
24,VOLATILE,99998.03278058932,True,0.5681480220418962
25,VOLATILE,99998.61580952593,True,0.6623502931897463
26,VOLATILE,99998.7872547107,True,0.1952726767887185
27,VOLATILE,99998.81468921165,True,0.025477464662827742
28,VOLATILE,99998.23097556354,True,-0.6584286966267712
29,VOLATILE,99998.13609998158,True,-0.11316902804844631
