tick,regime,equity,traded,return
0,VOLATILE,100000.00105320432,True,0.0
1,VOLATILE,100000.18550371581,True,2.5172415312360243
2,VOLATILE,99999.81301538748,True,-2.884495529689147
3,VOLATILE,99999.71217053728,True,-0.4756362527467388
4,VOLATILE,100000.5114284717,True,2.850980280933328
5,VOLATILE,100000.76811463617,True,0.8114904741356668
6,VOLATILE,100000.24967798781,True,-1.3459646742794718
7,VOLATILE,99999.09208659036,True,-2.6494543953587737
8,VOLATILE,99999.204059555,True,0.20705382414396922
9,VOLATILE,99999.13485335601,True,-0.12295171851295095
10,VOLATILE,99998.93225788079,True,-0.3696228432037856
11,VOLATILE,99998.72147641923,True,-0.36049004706751475
12,VOLATILE,99998.77011876859,True,0.08241542603106211
13,VOLATILE,100000.80104448559,True,3.1736952164032175
14,VOLATILE,100000.20630365591,True,-0.8909533160820047
15,VOLATILE,100000.19576696961,True,-0.019679669289644153
16,VOLATILE,99999.99184167167,True,-0.2851501070597635
17,VOLATILE,99997.81761270824,True,-2.964936803890012
18,VOLATILE,99997.51966127909,True,-0.39380055238413547
19,VOLATILE,99995.89869979759,True,-2.0839205142328154
20,VOLATILE,99995.90461273881,True,0.004469187101818761
21,VOLATILE,99994.98992736136,True,-1.1253111882578537
22,VOLATILE,99997.50332976152,True,3.043178438245249
23,VOLATILE,99997.32232244159,True,-0.2155936997627208
24,VOLATILE,99997.80844938789,True,0.5681480220418962
25,VOLATILE,99998.38176679391,True,0.6623502931897463
26,VOLATILE,99998.5522355315,True,0.1952726767887185
27,VOLATILE,99998.57516515271,True,0.025477464662827742
28,VOLATILE,99997.9892464847,True,-0.6584286966267712
29,VOLATILE,99997.88799840744,True,-0.11316902804844631
